section,comparator,comparator_display,Delta_NMI_mean,Delta_NMI_median,NMI_WTL,Delta_h_mean,Delta_h_median,Homogeneity_WTL,Delta_c_mean,Delta_c_median,Completeness_WTL,Holm_p_NMI,Holm_p_Homogeneity,Holm_p_Completeness,Delta_rho_H_mean
External,MCLA,MCLA,0.022951254972505976,-0.0033541216056177173,5/0/5,0.011904441468328458,-0.0034648414708593166,5/0/5,0.03735647217649282,-0.0022891635405509828,5/0/5,1.0,1.0,1.0,-0.05249822780581911
External,HBGF,HBGF,0.042188874221637175,0.018138949517966352,7/0/3,0.021675628532990373,0.01592791122132839,7/0/3,0.06766911952363512,0.022706006064348954,9/0/1,0.9609375,1.0,0.08203125,-0.13364070110891407
External,CEHM,CEHM,0.008267331056282006,-0.0012649656948709384,4/1/5,0.011897933165342314,0.0018117750269229238,5/1/4,-0.002692064285516474,-0.0071016334985012225,3/1/6,1.0,1.0,1.0,0.0401258451138057
External,YACHT,YACHT,0.05393638090809603,0.03796309939754869,6/0/4,0.03587262398124555,0.03953753947041688,6/0/4,0.07712714188494141,0.03831144297839493,7/0/3,1.0,1.0,0.52734375,-0.11294984054723849
External,RANGE,RANGE,0.02214975262951737,0.016576403279734614,6/0/4,0.0036747448886344236,0.015196918469900927,6/0/4,0.04566307725177596,0.017371224978549316,6/0/4,1.0,1.0,1.0,-0.1138945370506311
External,GPEC,GPEC,0.019715084483514465,0.0038782404973310147,6/0/4,0.008716684428554215,0.005159022329008639,6/0/4,0.03427823053122636,0.002439794738840151,6/0/4,1.0,1.0,1.0,-0.07570350060654293
Internal,CA,CA,-0.009004331920481959,0.0,3/4/3,-0.009128293425575997,0.0,3/4/3,-0.008273264210607052,0.0,3/4/3,1.0,1.0,1.0,-0.010276616761399104
Internal,AggregatePower_q6,AggregatePower (q_after=6),-0.009373993813811635,-2.7658934037055882e-05,2/3/5,-0.009510562326048702,-4.558907613330665e-05,2/3/5,-0.00863023591057841,-5.101063177304077e-06,2/3/5,0.65625,0.4453125,1.0,-0.010320736923706653
Internal,q1-fixed,q1-fixed,-0.005218290896217883,0.0,3/3/4,-0.00519159519429428,0.0,4/3/3,-0.004822713106482956,0.0,3/3/4,1.0,1.0,1.0,-0.005918952681844847
