comparison_family,dataset,comparator,Delta_NMI,Delta_h,Delta_c,Delta_UY,Delta_UZ,Delta_rho_H,PSF_NMI,comparator_NMI,PSF_homogeneity,comparator_homogeneity,PSF_completeness,comparator_completeness,PSF_rho_H,comparator_rho_H
external,BBC News Sport,MCLA,-0.07896906042021332,-0.08624271109826068,-0.062037992074921444,-0.08624271109826076,-0.062037992074921444,-0.13048003603587954,0.20849180207468396,0.2874608624948973,0.17653646995034053,0.2627791810486012,0.2571712510120752,0.31920924308699666,0.6758403432434599,0.8063203792793394
external,BBC News Sport,HBGF,-0.05086792437569096,-0.08700865073826894,0.0018656889440615831,-0.08700865073826902,0.0018656889440614721,-0.35647751267866146,0.20849180207468396,0.2593597264503749,0.17653646995034053,0.26354512068860947,0.2571712510120752,0.25530556206801364,0.6758403432434599,1.0323178559221213
external,BBC News Sport,CEHM,0.03571225026076208,0.05585762648497418,-0.049453617492906554,0.055857626484974054,-0.049453617492906665,0.28760218747619803,0.20849180207468396,0.17277955181392188,0.17653646995034053,0.12067884346536635,0.2571712510120752,0.3066248685049818,0.6758403432434599,0.38823815576726184
external,BBC News Sport,YACHT,-0.13263663233237175,-0.16185846257892508,-0.08685238103563397,-0.1618584625789251,-0.08685238103563397,-0.30931551458872386,0.20849180207468396,0.3411284344070557,0.17653646995034053,0.3383949325292656,0.2571712510120752,0.3440236320477092,0.6758403432434599,0.9851558578321837
external,BBC News Sport,RANGE,-0.16969764367688225,-0.1959249105873279,-0.12707716191798973,-0.19592491058732797,-0.1270771619179898,-0.29624246547577016,0.20849180207468396,0.3781894457515662,0.17653646995034053,0.3724613805376684,0.2571712510120752,0.38424841293006495,0.6758403432434599,0.97208280871923
external,BBC News Sport,GPEC,-0.09506126281472158,-0.10909394746329568,-0.06687042421069411,-0.10909394746329582,-0.06687042421069422,-0.20126311556688137,0.20849180207468396,0.30355306488940553,0.17653646995034053,0.2856304174136362,0.2571712510120752,0.32404167522276933,0.6758403432434599,0.8771034588103412
external,Leukemia,MCLA,-0.008526387994542722,-0.008904265702798564,-0.008177523765806313,-0.008904265702798675,-0.008177523765806383,-0.001398641966667613,0.12531250648530345,0.13383889447984618,0.12931532838925794,0.1382195940920565,0.12155005070043386,0.12972757446624017,1.0638854335648285,1.065284075531496
external,Leukemia,HBGF,-0.017052775989085417,-0.017808531405597156,-0.016355047531612613,-0.01780853140559735,-0.016355047531612654,-0.002797283933335226,0.12531250648530345,0.14236528247438887,0.12931532838925794,0.1471238597948551,0.12155005070043386,0.13790509823204647,1.0638854335648285,1.0666827174981637
external,Leukemia,CEHM,0.0,0.0,0.0,0.0,0.0,0.0,0.12531250648530345,0.12531250648530345,0.12931532838925794,0.12931532838925794,0.12155005070043386,0.12155005070043386,1.0638854335648285,1.0638854335648285
external,Leukemia,YACHT,0.07130496189441338,0.07378759675435553,0.06897694088344371,0.07378759675435531,0.06897694088344353,0.02277153835699952,0.12531250648530345,0.05400754459089007,0.12931532838925794,0.0555277316349024,0.12155005070043386,0.05257310981699015,1.0638854335648285,1.041113895207829
