dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
ACM,CEHM,0,1061.0,0.724836943805348,2.0644054720487364,3.0,0.5334590009425071,0.4599434495758718
ACM,CEHM,1,965.0,0.319990910962414,1.3775645824134413,3.0,0.918825561312608,0.06528497409326424
ACM,CEHM,2,999.0,0.705118921496592,2.024387640998743,3.0,0.6876876876876876,0.2882882882882883
ACM,GPEC,0,1061.0,0.7275866798381779,2.070121809919893,3.0,0.512095507382972,0.48130694313540684
ACM,GPEC,1,965.0,0.28042502534200486,1.324443438718892,3.0,0.931951640759931,0.05526770293609672
ACM,GPEC,2,999.0,0.7320895403178004,2.0799179974549546,3.0,0.6810143476810143,0.28561895228561895
ACM,HBGF,0,1061.0,0.8166791726882311,2.271443825496549,3.0,0.5475966069745523,0.4077913917687716
ACM,HBGF,1,965.0,0.37836238801803557,1.4704907113162857,2.3333333333333335,0.8670120898100172,0.1316062176165803
ACM,HBGF,2,999.0,0.9224729079516694,2.523738373754837,3.0,0.5759092425759093,0.30530530530530525
ACM,MCLA,0,1061.0,0.7547579336601083,2.133961626920417,3.0,0.6192271442035815,0.34778510838831295
ACM,MCLA,1,965.0,0.20952298220865292,1.2338682229829414,2.6666666666666665,0.9471502590673575,0.05181347150259067
ACM,MCLA,2,999.0,0.892091389903798,2.4441051610954383,3.0,0.641307974641308,0.2045378712045379
ACM,PSF-CE,0,1061.0,0.7251458583351788,2.065036124915409,3.0,0.5105246622683003,0.48350612629594725
ACM,PSF-CE,1,965.0,0.29817929276568156,1.3475734818210594,3.0,0.918825561312608,0.0766839378238342
ACM,PSF-CE,2,999.0,0.719436952237381,2.053277063432184,3.0,0.6720053386720054,0.30363697030363695
ACM,RANGE,0,1061.0,0.6012411989935705,1.8249336844587531,3.0,0.7640590637763117,0.21960414703110273
ACM,RANGE,1,965.0,0.2217013882937328,1.258678484808846,3.0,0.9392055267702936,0.054922279792746116
ACM,RANGE,2,999.0,0.8021351430549112,2.2425555441602647,3.0,0.6800133466800133,0.20887554220887553
ACM,YACHT,0,1061.0,0.7219288121390689,2.058425698841462,3.0,0.5142946905435124,0.4803644360666038
ACM,YACHT,1,965.0,0.321606718340593,1.380206399124959,3.0,0.9184801381692572,0.06493955094991365
ACM,YACHT,2,999.0,0.7077073108538999,2.0296477526601855,3.0,0.6856856856856858,0.28995662328995664
Amazon Photo,CEHM,0,369.0,0.5356442335254273,1.7085913708862233,6.0,0.8735320686540199,0.05510388437217706
Amazon Photo,CEHM,1,1686.0,0.9121539873354295,2.4897188788191102,7.0,0.7309213127718466,0.12238038750494266
Amazon Photo,CEHM,2,703.0,0.7740735567486117,2.1685868222764015,6.0,0.6415362731152204,0.3323850165955429
Amazon Photo,CEHM,3,915.0,0.8744770805501392,2.397674248770166,5.0,0.6502732240437158,0.28488160291438985
Amazon Photo,CEHM,4,882.0,0.27373030116649455,1.3151479521979967,7.0,0.9497354497354498,0.017006802721088437
Amazon Photo,CEHM,5,823.0,0.1758174495708763,1.1922378862882017,4.0,0.9647630619684082,0.026731470230862697
Amazon Photo,CEHM,6,1941.0,0.8519260594065661,2.3441811968312827,8.0,0.7384509702902284,0.12158681092220507
Amazon Photo,CEHM,7,331.0,0.5474729576960035,1.7289051670265703,5.0,0.8489425981873112,0.10976837865055387
Amazon Photo,GPEC,0,369.0,0.8533737094579616,2.554801745424658,5.666666666666667,0.6305329719963866,0.2321589882565492
Amazon Photo,GPEC,1,1686.0,1.3914889242134263,4.161039857691654,7.666666666666667,0.5340055357848952,0.15856069592724398
Amazon Photo,GPEC,2,703.0,1.1184365234395572,3.069997467285312,7.666666666666667,0.5177809388335705,0.3082029397818871
Amazon Photo,GPEC,3,915.0,1.6775320897579131,5.415833661569905,6.666666666666667,0.2830601092896175,0.2309653916211293
Amazon Photo,GPEC,4,882.0,1.3568297709181039,3.8887478241062627,8.0,0.35222978080120937,0.31103552532123957
Amazon Photo,GPEC,5,823.0,0.4621028037690979,1.7170106723761005,6.0,0.8315107330903201,0.1008505467800729
Amazon Photo,GPEC,6,1941.0,1.6574754850803934,5.2539300692859365,8.0,0.3074016829812811,0.21638330757341576
Amazon Photo,GPEC,7,331.0,1.5358486830652271,4.6633456108382765,6.666666666666667,0.33031218529707956,0.2729103726082578
Amazon Photo,HBGF,0,369.0,0.4389431463874634,1.6146352696889883,6.0,0.880758807588076,0.06142728093947606
Amazon Photo,HBGF,1,1686.0,1.5008682425648336,4.487093935869868,8.0,0.44464215104784505,0.2619612495057335
Amazon Photo,HBGF,2,703.0,0.8997982766154702,2.4633962791153743,5.0,0.6220957799905168,0.3015647226173542
Amazon Photo,HBGF,3,915.0,1.5778769748191017,4.848976010557622,7.666666666666667,0.4528233151183971,0.16429872495446265
Amazon Photo,HBGF,4,882.0,1.4195142377366523,4.135246680455729,8.0,0.36810279667422524,0.3242630385487528
Amazon Photo,HBGF,5,823.0,0.28127947555749155,1.351715709943561,5.0,0.9311462130417173,0.04860267314702308
Amazon Photo,HBGF,6,1941.0,1.6890729134389983,5.415548411171192,8.0,0.26876180662888544,0.2323544564657393
Amazon Photo,HBGF,7,331.0,1.810986791027588,6.118909703547568,8.0,0.29607250755287007,0.18328298086606243
Amazon Photo,MCLA,0,369.0,0.7769770859979946,2.268202899594226,7.0,0.7136404697380306,0.1897018970189702
Amazon Photo,MCLA,1,1686.0,1.0263474945992213,2.803092125984603,7.333333333333333,0.6957295373665481,0.13701067615658363
Amazon Photo,MCLA,2,703.0,1.2198837478674431,3.3875458052354053,7.666666666666667,0.47700331910858224,0.3238501659554291
Amazon Photo,MCLA,3,915.0,1.0570199105073088,2.879292337304251,6.0,0.6418943533697632,0.18469945355191256
Amazon Photo,MCLA,4,882.0,0.4364982625023189,1.5548986344229423,7.666666666666667,0.8983371126228269,0.06613756613756615
Amazon Photo,MCLA,5,823.0,0.7825688067219295,2.194793665604204,6.333333333333333,0.7140542729850141,0.2183070068853787
Amazon Photo,MCLA,6,1941.0,1.0352962709734739,2.8452299855144827,8.0,0.6817791516400481,0.14597286622016142
Amazon Photo,MCLA,7,331.0,0.6513397375972979,1.9220671482201919,5.666666666666667,0.8358509566968783,0.07049345417925477
Amazon Photo,PSF-CE,0,369.0,0.4943400926121561,1.639466114165625,6.0,0.8735320686540199,0.08943089430894309
Amazon Photo,PSF-CE,1,1686.0,0.8781145336273698,2.4063663337908374,7.0,0.7502965599051009,0.10063266113088176
