method,ACC,NMI,ARI,F1
MCLA,0.5843137431742615,0.3785065346185607,0.30100782284152394,0.5538816529423929
HBGF,0.573600494830624,0.3592689153694298,0.2871065675324754,0.5670626008056185
CEHM,0.5751897068813479,0.3931904585347846,0.2629861788453117,0.5280143927187022
YACHT,0.5496773726545696,0.34752140868297066,0.2574826493518971,0.5417473905171095
RANGE,0.5968442055208164,0.37930803696154924,0.30238429573381187,0.5929002422205785
GPEC,0.5775602126020425,0.38174270510755204,0.29148750128990225,0.5581708394679741
PSF-CE,0.5778271412032832,0.40145778959106676,0.28217725807802463,0.5396410346456875
