baseline,datasets,W,T,L,mean_delta_pp,median_delta_pp,p_two_sided,ci95_lower_pp,ci95_upper_pp,p_holm
CA,53,11,33,9,-0.030591771032657308,0,0.92171404205062302,-0.32489656405619355,0.2579323930906916,1
Poly2,53,14,27,12,-0.023260327026034436,0,0.43562915627286269,-0.4877699809963556,0.37306849232110384,1
LinearPair,53,14,33,6,0.090286695397326255,0,0.076288615736112231,-0.17647123863941744,0.3686665540184893,0.42141163423162731
AggregatePower,53,10,32,11,-0.10046692988755505,0,0.65050722900953417,-0.42043074395577035,0.20599507722413227,1
CEHM,53,37,3,13,6.8503732384467835,0.89743589743589425,0.00021781195993842497,3.3648042199135122,10.865958717209056,0.0015246837195689747
YACHT,53,30,1,22,2.8777248866288923,1.6083333333333338,0.070235272371937885,0.52041984160448773,5.4943477700295063,0.42141163423162731
RANGE,53,24,1,28,-0.76404238375566547,-0.61469684269349067,0.51525423868006148,-2.371811297787537,0.82831962526161651,1
