method,ACC,NMI,ARI,F1,ACC_avg_rank,datasets,pools
CA,48.813924821926086,37.254459590484707,25.288943024360112,41.242316433480269,4.1698113207547172,53,159
Poly2,48.806593377919469,37.018435526545773,24.868234626512397,41.350523207493893,4.4339622641509431,53,159
LinearPair,48.693046355496101,37.069292098754858,24.895579671013937,41.093584513791313,4.5566037735849054,53,159
AggregatePower,48.883799980780992,37.290205637019085,25.501087306382598,41.283732679354223,3.9622641509433962,53,159
CEHM,41.932959812446654,26.367040771085218,16.743130863315944,29.21323956462108,5.9622641509433958,53,159
YACHT,45.905608164264535,34.890958527365051,24.554863110928704,43.507108116287945,4.9622641509433958,53,159
RANGE,49.547375434649098,37.881414952054591,28.526880646592463,46.895995390430762,3.9622641509433962,53,159
PSF-CE,48.783333050893432,37.074592651605421,25.10404209207325,41.218699589378147,3.9905660377358489,53,159
