variant,ACC,NMI,ARI,F1
w/o interaction,48.813924821926086,37.25445959048471,25.288943024360112,41.24231643348027
PSF-CE w/o nonlinear filtering,48.88282225925667,37.20919865960746,25.280226756820866,41.28683825729792
PSF-CE,48.78333305089343,37.07459265160542,25.104042092073247,41.21869958937815
