"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC_sensitivity","NMI_sensitivity","prediction_file_sha256","ACC_formal","NMI_formal","_merge","ACC_abs_diff","NMI_abs_diff"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ACM","0","3025","3","20","3","0.68330578512396689","0.45451051242889573","c441f2354eab689e08923e7110f56dc5d13adac7efdfc8debddef2faa75b0361","0.68330578512396689","0.45451051242889567","both","0","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ACM","1","3025","3","20","3","0.68132231404958676","0.45607252239356444","abd06f1fd9ca7544b9c1939af926e19fc63186c4b7ba081bd369826419a6d864","0.68132231404958676","0.45607252239356438","both","0","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ACM","2","3025","3","20","3","0.68925619834710738","0.46466397509180229","1152c5152df2af2e11d3c01bfaf7d057245120692f76b8fd772ff6c12c3273da","0.68925619834710738","0.46466397509180229","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Amazon Photo","0","7650","8","20","8","0.59228758169934637","0.5399050843004729","e4cee3eafc4ba67eb90bed31739469eede4521662c552631c063fd2ba8a59594","0.59228758169934637","0.5399050843004729","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Amazon Photo","1","7650","8","20","8","0.5913725490196079","0.54018002718140767","b9007fdf057d24ba37eb5876c6cfb1200bc143028064900c9d69088c3ad8ea26","0.5913725490196079","0.54018002718140767","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Amazon Photo","2","7650","8","20","8","0.59019607843137256","0.53984031235815833","f68bbf30ed75fd32be04f9d5564dcdd5e71258739d844c5b641761bf656b6054","0.59019607843137256","0.53984031235815833","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","BBC News Sport","0","737","5","20","5","0.37449118046132973","0.18967445429725954","8f26b682c53d95f3e849bed22b08b9b69e2d3835caab1698f4a84bf9632a68f6","0.37449118046132968","0.18967445429725949","both","5.5511151231257827e-17","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","BBC News Sport","1","737","5","20","5","0.43554952510176392","0.26679945908578973","7b590031c0935c14fcc911dbe5073f5a3c2e3ed49ac7b4074ba85ab052780769","0.43554952510176392","0.26679945908578973","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","BBC News Sport","2","737","5","20","5","0.39891451831750341","0.1690014928410016","f43fd60fbb2d16bef4bae5167e92f96d3a192279383a09f0525c7a3edf92fc72","0.39891451831750341","0.1690014928410016","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Caltech101-20","0","2386","20","20","20","0.26110645431684826","0.40808882361691595","19ad2fed70cc31b346429269182ed4c7db34606beb389cf41f105aa2cf943f79","0.2611064543168482","0.4080888236169159","both","5.5511151231257827e-17","5.5511151231257827e-17"
