"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC","NMI","prediction_file_sha256"
"q","0.72","0.72","0.665","Amazon Photo","0","7650","8","20","8","0.5922875816993464","0.5399050843004729","e4cee3eafc4ba67eb90bed31739469eede4521662c552631c063fd2ba8a59594"
"q","0.72","0.72","0.665","Amazon Photo","1","7650","8","20","8","0.5913725490196079","0.5401800271814077","b9007fdf057d24ba37eb5876c6cfb1200bc143028064900c9d69088c3ad8ea26"
"q","0.72","0.72","0.665","Amazon Photo","2","7650","8","20","8","0.5901960784313726","0.5398403123581583","f68bbf30ed75fd32be04f9d5564dcdd5e71258739d844c5b641761bf656b6054"
"q","0.72","0.72","0.665","BBC News Sport","0","737","5","20","5","0.37449118046132973","0.18967445429725954","8f26b682c53d95f3e849bed22b08b9b69e2d3835caab1698f4a84bf9632a68f6"
"q","0.72","0.72","0.665","BBC News Sport","1","737","5","20","5","0.4355495251017639","0.2667994590857897","7b590031c0935c14fcc911dbe5073f5a3c2e3ed49ac7b4074ba85ab052780769"
"q","0.72","0.72","0.665","BBC News Sport","2","737","5","20","5","0.3989145183175034","0.1690014928410016","f43fd60fbb2d16bef4bae5167e92f96d3a192279383a09f0525c7a3edf92fc72"
"q","0.72","0.72","0.665","Caltech101-20","0","2386","20","20","20","0.26110645431684826","0.40808882361691595","19ad2fed70cc31b346429269182ed4c7db34606beb389cf41f105aa2cf943f79"
"q","0.72","0.72","0.665","Caltech101-20","1","2386","20","20","20","0.250628667225482","0.3877261158478567","170f62063f3aa6991b15c267cab7963096c6019a742ee3e40b36927f6d2f4764"
"q","0.72","0.72","0.665","Caltech101-20","2","2386","20","20","20","0.2707460184409053","0.40274965528449513","0607300f8b82b931ea24a5f50cdec25024fa9955d235d8e042dc44e7879e7cf0"
"q","0.72","0.72","0.665","Chameleon","0","2277","5","20","5","0.3227931488801054","0.0645215350884266","3e756a46315e7e46c5eaede9836471e4901d9444d99116d76246aca5b3b32cf5"
"q","0.72","0.72","0.665","Chameleon","1","2277","5","20","5","0.3227931488801054","0.0645215350884266","b64a9b3a1ccfe6e07c3859b2b73061cafb19f109de990e141683ddb67185a9ea"
"q","0.72","0.72","0.665","Chameleon","2","2277","5","20","5","0.3227931488801054","0.0645215350884266","d4f0252b8f809714caaf1a7c7a2de4876c4bc4f84af7e525dde5772903e37e3f"
"q","0.72","0.72","0.665","Iris","0","150","3","20","3","0.8066666666666666","0.6110929132666966","05016f78a07124ee286cc5aa8531e3c6d43447ad16b9626d1c9c8878d4f0f2da"
"q","0.72","0.72","0.665","Iris","1","150","3","20","3","0.82","0.6478741489729217","838283283f6438a80ab9025b04de6677a376b8c3643548669465ab5018fcc250"
"q","0.72","0.72","0.665","Iris","2","150","3","20","3","0.8266666666666667","0.6525582020084985","e988e91e070145d05577b27f559e26b805721344c9dff69d64032d635e07cdfa"
"q","0.72","0.72","0.665","Leukemia","0","72","2","20","2","0.7083333333333334","0.12531250648530332","c78ee4fbc3e289cd331ea7d406c93bc1c9047536c97103626b3080b5d4ea0fe0"
"q","0.72","0.72","0.665","Leukemia","1","72","2","20","2","0.7083333333333334","0.12531250648530332","55d55e191184d6868e37b0e70b949e77b40c8ea747259eaeed8d6b0feea867fc"
"q","0.72","0.72","0.665","Leukemia","2","72","2","20","2","0.7083333333333334","0.12531250648530332","967720cd74aa72cf98352958ccf08c3cc87d2addcf9477ab9e7d4ea08be91649"
"q","0.72","0.72","0.665","Leukemia2","0","72","3","20","3","0.6111111111111112","0.489053040886391","3d67c70feda661a20d91f72953a927973b86fe5e523c1f4650f2454e7de3cada"
"q","0.72","0.72","0.665","Leukemia2","1","72","3","20","3","0.5833333333333334","0.42419207107531653","263494f87dfe91b0a7cc81516752be65752f058332a29dde29a4c621cbd3bec5"
"q","0.72","0.72","0.665","Leukemia2","2","72","3","20","3","0.6111111111111112","0.489053040886391","d1b31e581d51fe6a912edc83a1675c752f0cd91a3074ba64b9124413714de273"
"q","0.72","0.72","0.665","Mushroom","0","8124","2","20","2","0.7303052683407188","0.28581544561778516","2f55604b92a2a0ca4d1b4ed4ea5b86ea5b122d5b259d912598bdb02a9583da28"
"q","0.72","0.72","0.665","Mushroom","1","8124","2","20","2","0.7258739537173806","0.2606365417890567","736212fc3733d8d021b8f1a99609ab0400237a04c6fa824d859a9b0f0eb2abcf"
"q","0.72","0.72","0.665","Mushroom","2","8124","2","20","2","0.7296898079763663","0.2796139587182322","42bb6d16821c404a3f915d8c816f88ff3752d9d2ae1113967329f768257f8edd"
"q","0.72","0.72","0.665","ORL","0","400","40","20","40","0.675","0.8351457799801179","1b018b4f2499b32fd338ca93f391c93dcc4bf49785674a4147a7cff323b60790"
"q","0.72","0.72","0.665","ORL","1","400","40","20","40","0.6375","0.8405616761634674","5fb510e6f13a4181594aecb8a874984303a83483934f7611c209292f75290e82"
"q","0.72","0.72","0.665","ORL","2","400","40","20","40","0.665","0.8394223089183184","c17aefc98317eca9c7571cc234abaa7606c68a042bd4f345a9ab6bd365ac0ddf"
"q","1.0","1.0","0.665","ACM","0","3025","3","20","3","0.6829752066115703","0.45318377445094077","00f33b755aa39290d54bfa65afb8623af4857d5af3e454cb2f3d0523c01790d2"
"q","1.0","1.0","0.665","ACM","1","3025","3","20","3","0.6813223140495868","0.4566254992741328","b0a78a6368e82466c2a738cdc4bb224141e32adde2d7015ae91d32d271d56a39"
"q","1.0","1.0","0.665","ACM","2","3025","3","20","3","0.6866115702479338","0.46163392226787797","70d0a48a43cc197301f23187abd2f729a0710b0d5cba03e9e560fc541582c06d"
"q","1.0","1.0","0.665","Amazon Photo","0","7650","8","20","8","0.5922875816993464","0.5398441715495762","41d109b7ed26bbc3f2fc581c46e0a74e9ed6d354072f0014d5a6b517e22b0d50"
"q","1.0","1.0","0.665","Amazon Photo","1","7650","8","20","8","0.5916339869281045","0.5408217254596505","efb1439df1161baefc04c21495f00c7ccb0f1534814a28823e8aeded1fb4e07b"
"q","1.0","1.0","0.665","Amazon Photo","2","7650","8","20","8","0.5901960784313726","0.5394254804350345","11f530ac76936c2b851f061559de3e00e2c7c391682718dccfd3e8ed41112e09"
"q","1.0","1.0","0.665","BBC News Sport","0","737","5","20","5","0.37449118046132973","0.18967445429725954","824898003f2f1c12bf4a73253f58b1d33dcbcfbff742fc18adba145846379395"
"q","1.0","1.0","0.665","BBC News Sport","1","737","5","20","5","0.4355495251017639","0.2667994590857898","602714549a1a31574ec0824ed1ce46be8d2e1ecddc650143c522c52fcff0175b"
"q","1.0","1.0","0.665","BBC News Sport","2","737","5","20","5","0.5332428765264586","0.32723512445812825","050d030bf4296f4f40aa53cca0e444a91f43f41a1d480d3dacc0088078aae11d"
"q","1.0","1.0","0.665","Caltech101-20","0","2386","20","20","20","0.26110645431684826","0.4080888236169159","a394ecc4ba71c52e0914feccb71a9bb26316a561fd0d1dea46f7c5b469907695"
"q","1.0","1.0","0.665","Caltech101-20","1","2386","20","20","20","0.250628667225482","0.38776464265403776","21338c0253bdeb2df1dd9b302b6c38f12233ac0ab3c116b2216303c3643c2cbf"
"q","1.0","1.0","0.665","Caltech101-20","2","2386","20","20","20","0.2707460184409053","0.40314554840979816","10664b222dd2bab65e27ae724bc1be32328b32f726c2ac4c7b49cfd12732ef5b"
"q","1.0","1.0","0.665","Chameleon","0","2277","5","20","5","0.3227931488801054","0.0645215350884266","addf7fea18249c1a502878e5b32a9280ce531771798821c4d3edb46c8e2a1cec"
"q","1.0","1.0","0.665","Chameleon","1","2277","5","20","5","0.3227931488801054","0.0645215350884266","ac99806e5bb0931df3ce28b38da6e1af986f2b7a7569f8c03fa2b06912ecf7fd"
"q","1.0","1.0","0.665","Chameleon","2","2277","5","20","5","0.3227931488801054","0.0645215350884266","d0b68a236de8cca33093650773d10c5c525835738582dfa16bad321431fde6c6"
"q","1.0","1.0","0.665","Iris","0","150","3","20","3","0.8066666666666666","0.6110929132666966","af9e6a62afd163be12821df9f40cf8bde8063ed94c9a6518327b05ef7eeb1600"
"q","1.0","1.0","0.665","Iris","1","150","3","20","3","0.8266666666666667","0.6534762508409035","8474a70ec7f49978aa4fcda01263a1cfc2cf4f88b90da7be0370165dd8f6304d"
"q","1.0","1.0","0.665","Iris","2","150","3","20","3","0.8266666666666667","0.6525582020084985","ce1b2a542dad4d7d824bd732e88df88fa04f2b9f9b94ec594605b7edebf7728e"
"q","1.0","1.0","0.665","Leukemia","0","72","2","20","2","0.7083333333333334","0.12531250648530332","98f8ccd27c07756a316b4a618d4491329954ab0ff897ce9c3abb731a3c57bbfe"
"q","1.0","1.0","0.665","Leukemia","1","72","2","20","2","0.7083333333333334","0.12531250648530332","a8c9baf182581c0bed5b2329bf5193e05862e44ded70dd939f9bb4751438d21c"
"q","1.0","1.0","0.665","Leukemia","2","72","2","20","2","0.7083333333333334","0.12531250648530332","751e9cff12b8f0f94c30773e3a80ddc3373be7090d7091234ddd4d5135990b4c"
"q","1.0","1.0","0.665","Leukemia2","0","72","3","20","3","0.6111111111111112","0.489053040886391","eeb1368f82680b4cc43be57d34e1c38f9f55159bd6363fb760f3d301aa079524"
