dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
Leukemia,0,w/o interaction,CA,72,2,20,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117967,0.038272899997537,ok
Leukemia,1,w/o interaction,CA,72,2,20,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117967,0.0350963999953819,ok
Leukemia,2,w/o interaction,CA,72,2,20,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117967,0.0387598999950569,ok
Leukemia2,0,w/o interaction,CA,72,3,20,0.6111111111111112,0.489053040886391,0.3709599322861673,0.5006802721088436,0.0478167999972356,ok
Leukemia2,1,w/o interaction,CA,72,3,20,0.5833333333333334,0.4241920710753165,0.291439196763541,0.4775413711583924,0.0525383000058354,ok
Leukemia2,2,w/o interaction,CA,72,3,20,0.6111111111111112,0.489053040886391,0.3709599322861673,0.5006802721088436,0.0468951000075321,ok
ALOI,2,w/o interaction,CA,10800,100,20,0.6888888888888889,0.8071209249193406,0.255503791419932,0.7150941622710283,36.53356860000349,ok
MFeat-pix,0,w/o interaction,CA,2000,10,20,0.865,0.8048976610412653,0.7561368166219208,0.8639174863623257,0.257710899997619,ok
MFeat-pix,1,w/o interaction,CA,2000,10,20,0.753,0.7949385514245959,0.6982220155856999,0.7492152010235369,0.2708426999888615,ok
MSRC-v1,0,w/o interaction,CA,210,7,20,0.7285714285714285,0.6773588555847249,0.590524694484844,0.6849441817591464,0.0656231000029947,ok
MFeat-pix,2,w/o interaction,CA,2000,10,20,0.7485,0.7982717982455864,0.6973023971294082,0.7398872104719737,0.1864112999901408,ok
MSRC-v1,1,w/o interaction,CA,210,7,20,0.7380952380952381,0.6780094757389566,0.6027601324225382,0.6940381919679102,0.0648263000039151,ok
MSRC-v1,2,w/o interaction,CA,210,7,20,0.7428571428571429,0.6744866496152505,0.5828475770396693,0.7316711807584115,0.1203829000005498,ok
Movies617,0,w/o interaction,CA,617,17,20,0.1231766612641815,0.1037377369189307,0.0066219886515515,0.0664493288668817,0.3215386999945622,ok
Movies617,1,w/o interaction,CA,617,17,20,0.126418152350081,0.1079466087029956,0.0072970781096334,0.0648878164057152,0.3202944999939063,ok
NGs,0,w/o interaction,CA,500,5,20,0.21,0.0229949009148245,0.0001105618976845,0.0869113448561684,0.0874387999938335,ok
NGs,1,w/o interaction,CA,500,5,20,0.206,0.0154802691564095,-3.853876421598665e-06,0.0789952820785434,0.0844924999983049,ok
Movies617,2,w/o interaction,CA,617,17,20,0.1150729335494327,0.0868824913130511,0.0065506887106408,0.0487249330686643,0.3420490999997128,ok
